ID,Name,Cases,Cases_Percentage,Cases_Percentage_mapped,testing,population,pop_density,pop_density_corrected,ethnicity_Latin_American,ethnicity_South_Asian,ethnicity_Chinese,ethnicity_Black,ethnicity_Filipino,ethnicity_Arab,ethnicity_Southeast_Asian,ethnicity_West_Asian,ethnicity_Korean,ethnicity_Japanese,ethnicity_Not_visible_minority,ethnicity_visible_minority_percentage,ethnicity_visible_minority_percentage_mapped,ethnicity_not_visible_minority_percentage,Median_Household_income,Median_Household_income_corrected,Median_Household_income_corrected_inverted,Poverty_percentage,Poverty_percentage_mapped,Edu_No_Education,Edu_Secondary_school_diploma,Edu_College,Edu_University,Edu_highschool_or_below_percentage,Edu_highschool_or_below_percentage_mapped,house_Single-detached_houses,house_Apartments_greater_than_5_story,house_Semi-detached_house,house_Row_house,house_Apartment_or_flat_in_a_duplex,house_Apartment_in_fewer_than_five_storeys,house_Other_single-attached_house,house_Movable_dwelling,average_household_size,average_household_size_corrected,apartments_percentage,apartments_percentage_mapped
25,Glenfield-Jane Heights,3668,0.15020475,0.860161176,0.260515796,"24,420","5,864",0.111457684,"3,680","2,150","1,170","7,360","1,515",345,"3,985",425,10,10,"7,065",0.74508,0.74262,0.25492,46475,0.081035909,0.918964091,0.218,0.47008547,9560,7190,3650,2110,0.744113727,0.994241193,0.0419,0.3436,0.3315,0.1362,0.0333,0.116,0,0,3.04,0.789473684,0.4929,0.468519688
65,Greenwood-Coxwell,464,0.038942509,0.120755198,0.231497068,"11,915","8,582",0.174256602,205,"1,070","2,090",940,300,80,190,85,85,125,"8,755",0.37127,0.30424,0.62873,57853,0.145499768,0.854500232,0.183,0.37037037,1960,2710,2005,4590,0.414558367,0.421266776,0.1595,0.0851,0.2446,0.0554,0.0595,0.3901,0.005,0.0008,2.37,0.436842105,0.5347,0.512528953
140,Guildwood,516,0.061685595,0.271896983,0.258160172,"8,365","2,673",0.037730182,120,815,275,625,490,30,70,45,45,100,"6,785",0.27819,0.19508,0.72181,76055,0.248626078,0.751373922,0.08,0.076923077,1080,2225,1590,2715,0.434296978,0.455584892,0.5451,0.2732,0.0351,0.0752,0.0451,0.0238,0,0,2.42,0.463157895,0.3421,0.309749421
53,Henry Farm,1228,0.092995078,0.479967742,0.162862654,"13,205","6,047",0.115685867,365,"3,365","3,080",810,"1,200",805,115,"1,255",445,50,"3,680",0.75742,0.75708,0.24258,52675,0.11616299,0.88383701,0.293,0.683760684,1210,2765,1920,6370,0.324092947,0.263980999,0.0778,0.8374,0,0.0683,0.0024,0.0126,0.0008,0,2.47,0.489473684,0.8524,0.847020425
88,High Park North,640,0.033719705,0.086046455,0.204877656,"18,980","11,726",0.246898177,690,950,830,755,380,225,185,220,380,175,"16,640",0.22352,0.13096,0.77648,60879,0.162644049,0.837355951,0.166,0.321937322,1535,3250,2980,10125,0.267467859,0.165530994,0.1242,0.5907,0.0544,0.0118,0.0372,0.18,0.0009,0,1.98,0.231578947,0.8079,0.800168457
87,High Park-Swansea,705,0.035579107,0.098403324,0.223518858,"19,815","4,893",0.089022897,475,800,740,855,325,150,240,85,270,150,"18,885",0.17802,0.0776,0.82198,72286,0.227272212,0.772727788,0.108,0.156695157,1575,3385,3100,10665,0.264886515,0.161042995,0.2441,0.3297,0.0474,0.0267,0.052,0.2979,0.0023,0,2.15,0.321052632,0.6796,0.665087387
134,Highland Creek,1045,0.095652174,0.497625778,0.182852131,"10,925","2,403",0.031491879,205,"4,515",955,"1,550",805,85,85,100,130,35,"3,185",0.72661,0.72096,0.27339,98087,0.373451859,0.626548141,0.111,0.165242165,1625,3200,2085,3055,0.484194681,0.542338473,0.839,0,0.0014,0.0041,0.1475,0.0081,0,0,3.37,0.963157895,0.1556,0.113392293
48,Hillcrest Village,591,0.039932432,0.127333844,0.145912019,"14,800","3,148",0.048704974,220,"1,525","8,225",620,305,180,90,650,650,60,"4,130",0.75203,0.75076,0.24797,64522,0.183284042,0.816715958,0.199,0.415954416,1865,3400,2155,6445,0.379733141,0.360718638,0.2578,0.3031,0.1289,0.1672,0.0242,0.118,0,0,2.64,0.578947368,0.4453,0.418403874
8,Humber Heights-Westmount,802,0.092556261,0.477051533,0.277406173,"8,665","3,981",0.067951295,485,325,100,"1,150",170,50,25,60,135,0,"7,365",0.25342,0.16603,0.74658,60410,0.159986856,0.840013144,0.135,0.233618234,1555,2305,1645,2340,0.492033142,0.555966646,0.4063,0.4776,0.0145,0.0157,0.0435,0.0459,0,0,2.45,0.478947368,0.567,0.546536113
21,Humber Summit,1404,0.136842105,0.771358186,0.215234006,"10,260","1,570",0.012245558,895,"3,590",135,"1,835",345,205,440,255,45,0,"4,265",0.64488,0.62511,0.35512,57786,0.145120169,0.854879831,0.183,0.37037037,3495,2990,1505,1450,0.686970339,0.894890056,0.1346,0.1821,0.459,0.0218,0.0244,0.1756,0,0.0013,3.18,0.863157895,0.3821,0.35186355
